,Rxn description,Formula,gene-reaction association,gene,Proteins,Subsystem,Reversible,LB,UB,Objective,Confidence Score,EC Number,Notes,References
pc_prod,pc production,pc_c -> all_pc_c,,,,Lipids LipidProduction,0,0,1000,0,,,,
pe_prod1,pe production,pe120_c -> all_pe_c ,,,,Lipids LipidProduction,0,0,1000,0,,,,
pe_prod2,pe production,pe140_c -> all_pe_c ,,,,Lipids LipidProduction,0,0,1000,0,,,,
pe_prod3,pe production,pe141_c -> all_pe_c ,,,,Lipids LipidProduction,0,0,1000,0,,,,
pe_prod4,pe production,pe160_c -> all_pe_c ,,,,Lipids LipidProduction,0,0,1000,0,,,,
pe_prod5,pe production,pe161_c -> all_pe_c ,,,,Lipids LipidProduction,0,0,1000,0,,,,
pe_prod6,pe production,pe180_c -> all_pe_c ,,,,Lipids LipidProduction,0,0,1000,0,,,,
pe_prod7,pe production,pe181_c -> all_pe_c ,,,,Lipids LipidProduction,0,0,1000,0,,,,
pe_prod8,pe production,pe_c -> all_pe_c,,,,Lipids LipidProduction,0,0,1000,0,,,,
pe_prod9,pe production,1agpe120_c -> all_pe_c,,,,Lipids LipidProduction,0,0,1000,0,,,,
pe_prod10,pe production,1agpe140_c -> all_pe_c,,,,Lipids LipidProduction,0,0,1000,0,,,,
pe_prod11,pe production,1agpe141_c -> all_pe_c,,,,Lipids LipidProduction,0,0,1000,0,,,,
pe_prod12,pe production,1agpe160_c -> all_pe_c,,,,Lipids LipidProduction,0,0,1000,0,,,,
pe_prod13,pe production,1agpe161_c -> all_pe_c,,,,Lipids LipidProduction,0,0,1000,0,,,,
pe_prod14,pe production,1agpe180_c -> all_pe_c,,,,Lipids LipidProduction,0,0,1000,0,,,,
pe_prod15,pe production,1agpe181_c -> all_pe_c,,,,Lipids LipidProduction,0,0,1000,0,,,,
pe_prod16,pe production,2agpe120_c -> all_pe_c,,,,Lipids LipidProduction,0,0,1000,0,,,,
pe_prod17,pe production,2agpe140_c -> all_pe_c,,,,Lipids LipidProduction,0,0,1000,0,,,,
pe_prod18,pe production,2agpe141_c -> all_pe_c,,,,Lipids LipidProduction,0,0,1000,0,,,,
pe_prod19,pe production,2agpe160_c -> all_pe_c,,,,Lipids LipidProduction,0,0,1000,0,,,,
pe_prod20,pe production,2agpe161_c -> all_pe_c,,,,Lipids LipidProduction,0,0,1000,0,,,,
pe_prod21,pe production,2agpe180_c -> all_pe_c,,,,Lipids LipidProduction,0,0,1000,0,,,,
pe_prod22,pe production,2agpe181_c -> all_pe_c,,,,Lipids LipidProduction,0,0,1000,0,,,,
ps_prod1,ps production,ps120_c -> all_ps_c,,,,Lipids LipidProduction,0,0,1000,0,,,,
ps_prod2,ps production,ps140_c -> all_ps_c,,,,Lipids LipidProduction,0,0,1000,0,,,,
ps_prod3,ps production,ps141_c -> all_ps_c,,,,Lipids LipidProduction,0,0,1000,0,,,,
ps_prod4,ps production,ps160_c -> all_ps_c,,,,Lipids LipidProduction,0,0,1000,0,,,,
ps_prod5,ps production,ps161_c -> all_ps_c,,,,Lipids LipidProduction,0,0,1000,0,,,,
ps_prod6,ps production,ps180_c -> all_ps_c,,,,Lipids LipidProduction,0,0,1000,0,,,,
ps_prod7,ps production,ps181_c -> all_ps_c,,,,Lipids LipidProduction,0,0,1000,0,,,,
pi_prod1,pi production,ptd4ino_c  -> all_pi_c,,,,Lipids LipidProduction,0,0,1000,0,,,,
pi_prod2,pi production,ptd3ino_c -> all_pi_c,,,,Lipids LipidProduction,0,0,1000,0,,,,
pi_prod3,pi production,ptd1ino_c -> all_pi_c,,,,Lipids LipidProduction,0,0,1000,0,,,,
pi_prod4,pi production,pail_c -> all_pi_c,,,,Lipids LipidProduction,0,0,1000,0,,,,
pg_prod1,pg production,pg120_c -> all_pg_c,,,,Lipids LipidProduction,0,0,1000,0,,,,
pg_prod2,pg production,pg140_c -> all_pg_c,,,,Lipids LipidProduction,0,0,1000,0,,,,
pg_prod3,pg production,pg141_c -> all_pg_c,,,,Lipids LipidProduction,0,0,1000,0,,,,
pg_prod4,pg production,pg160_c -> all_pg_c,,,,Lipids LipidProduction,0,0,1000,0,,,,
pg_prod5,pg production,pg161_c -> all_pg_c,,,,Lipids LipidProduction,0,0,1000,0,,,,
pg_prod6,pg production,pg180_c -> all_pg_c,,,,Lipids LipidProduction,0,0,1000,0,,,,
pg_prod7,pg production,pg181_c -> all_pg_c,,,,Lipids LipidProduction,0,0,1000,0,,,,
acylpg_prod1,acylpg production,apg120_c -> all_apg_c,,,,Lipids LipidProduction,0,0,1000,0,,,,
