Rxn id,Rxn description,Formula,Gene-reaction association,Genes,Proteins,Subsystem,Reversible,LB,UB,Objective,Confidence Score,EC Number,Notes,References,,,
CHSTEROLt,CHSTEROLt,atp_c + chsterol_c + h2o_c <=> adp_c + chsterol_e + h_c + pi_c,,,,Transport e,1,-1000,1000,0,,,Reversible for import,doi: 10.1016/j.chom.2015.08.003,,,
trna_ala,trna alanine,trnaala_c <=>,(PF3D7_0411500) or (PF3D7_0620800) or (PF3D7_0702700),PF3D7_0411500 PF3D7_0620800 PF3D7_0702700,,AminoAcids tRNA ; Exchange,1,-1000,1000,0,,,adding gene to tRNA,PlasmoDB,,,
trna_asp,trna asp,trnaasp_c <=>,(PF3D7_0714700),PF3D7_0714700,,AminoAcids tRNA ; Exchange,1,-1000,1000,0,,,adding gene to tRNA,PlasmoDB,,,
trna_cys,trna cysteine,trnacys_c <=>,(PF3D7_1370100),PF3D7_1370100,,AminoAcids tRNA ; Exchange,1,-1000,1000,0,,,adding gene to tRNA,PlasmoDB,,,
trna_gly,trna glycine,trnagly_c <=>,(PF3D7_1103200) or (PF3D7_1370200),PF3D7_1103200 PF3D7_1370200,,AminoAcids tRNA ; Exchange,1,-1000,1000,0,,,adding gene to tRNA,PlasmoDB,,,
trna_his,trna histidine,trnahis_c <=>,(PF3D7_0706900),PF3D7_0706900,,AminoAcids tRNA ; Exchange,1,-1000,1000,0,,,adding gene to tRNA,PlasmoDB,,,
trna_ile,trna isoleucine,trnaile_c <=>,(PF3D7_0312700) or (PF3D7_0410200),PF3D7_0312700 PF3D7_0410200,,AminoAcids tRNA ; Exchange,1,-1000,1000,0,,,adding gene to tRNA,PlasmoDB,,,
trna_leu,trna leucine,trnaleu_c <=>,(PF3D7_0510600) or (PF3D7_0527800) or (PF3D7_0620900) or (PF3D7_0714800) or (PF3D7_1103300),PF3D7_0510600 PF3D7_0527800 PF3D7_0620900 PF3D7_0714800 PF3D7_1103300,,AminoAcids tRNA ; Exchange,1,-1000,1000,0,,,adding gene to tRNA,PlasmoDB,,,
trna_lys,trna lysine,trnalys_c <=>,(PF3D7_0707100) or (PF3D7_0707000),PF3D7_0707100 PF3D7_0707000,,AminoAcids tRNA ; Exchange,1,-1000,1000,0,,,adding gene to tRNA,PlasmoDB,,,
trna_pro,trna proline,trnapro_c <=>,(PF3D7_1216800) or (PF3D7_1418400) or (PF3D7_1339200),PF3D7_1216800 PF3D7_1418400 PF3D7_1339200,,AminoAcids tRNA ; Exchange,1,-1000,1000,0,,,adding gene to tRNA,PlasmoDB,,,
trna_secys,trna selanocystein,trnasecys_c <=>,(PF3D7_1438200),PF3D7_1438200,,AminoAcids tRNA ; Exchange,1,-1000,1000,0,,,adding gene to tRNA,PlasmoDB,,,
trna_ser,trna serine,trnaser_c <=>,(PF3D7_0410100) or (PF3D7_0621600) or (PF3D7_0714900) or (PF3D7_1337600),PF3D7_0410100 PF3D7_0621600 PF3D7_0714900 PF3D7_1337600,,AminoAcids tRNA ; Exchange,1,-1000,1000,0,,,adding gene to tRNA,PlasmoDB,,,
trna_thr,trna threon,trnathr_c <=>,(PF3D7_0706800) or (PF3D7_0730700) or (PF3D7_1355400),PF3D7_0706800 PF3D7_0730700 PF3D7_1355400,,AminoAcids tRNA ; Exchange,1,-1000,1000,0,,,adding gene to tRNA,PlasmoDB,,,
trna_tyr,trna tyrosine,trnatyr_c <=>,(PF3D7_0702800),PF3D7_0702800,,AminoAcids tRNA ; Exchange,1,-1000,1000,0,,,adding gene to tRNA,PlasmoDB,,,
trna_val,trna valine,trnaval_c <=>,(PF3D7_0312600) or (PF3D7_0730600) or (PF3D7_1251900),PF3D7_0312600 PF3D7_0730600 PF3D7_1251900,,AminoAcids tRNA ; Exchange,1,-1000,1000,0,,,adding gene to tRNA,PlasmoDB,,,
trna_arg,trna arg,trnaarg_c <=>,(PF3D7_0529600) or (PF3D7_1370000) or (PF3D7_1369800) or (PF3D7_1341000),PF3D7_0529600 PF3D7_1370000 PF3D7_1369800 PF3D7_1341000,,AminoAcids tRNA ; Exchange,1,-1000,1000,0,,,adding gene to tRNA,PlasmoDB,,,
trna_met,trna met,trnamet_c <=>,(PF3D7_1438300) or (PF3D7_1339100),PF3D7_1438300 PF3D7_1339100,,AminoAcids tRNA ; Exchange,1,-1000,1000,0,,,adding gene to tRNA,PlasmoDB,,,
trna_asn,trna asn,trnaasn_c <=>,(PF3D7_0403000),PF3D7_0403000,,AminoAcids tRNA ; Exchange,1,-1000,1000,0,,,adding gene to tRNA,PlasmoDB,,,
trna_gln,trna glutamine,trnagln_c <=>,(PF3D7_0203500),PF3D7_0203500,,AminoAcids tRNA ; Exchange,1,-1000,1000,0,,,adding gene to tRNA,PlasmoDB,,,
trna_glu,trna glutamate,trnaglu_c <=>,(PF3D7_0411600) or (PF3D7_0527700) or (PF3D7_1252000),PF3D7_0411600 PF3D7_0527700 PF3D7_1252000,,AminoAcids tRNA ; Exchange,1,-1000,1000,0,,,adding gene to tRNA,PlasmoDB,,,
trna_phe,trna phenylalanine,trnaphe_c <=>,(PF3D7_0514400),PF3D7_0514400,,AminoAcids tRNA ; Exchange,1,-1000,1000,0,,,adding gene to tRNA,PlasmoDB,,,
trna_trp,trna tryptophan,trnatrp_c <=>,(PF3D7_1369900),PF3D7_1369900,,AminoAcids tRNA ; Exchange,1,-1000,1000,0,,,adding gene to tRNA,PlasmoDB,,,
amet_ex,S_Adenosyl_L_methionine exchange,amet_e <=>,,,,Exchange,1,-1000,1000,0,,,,,,,
ppa_ex,ppa_ex,ppa_e <=>,,,,Exchange,1,-1000,1000,0,,,,,,,
pail_ex,phosphatidyl inositol exchange,pail_e <=>,,,,Exchange,1,-1000,1000,0,,,Uptake from host,doi: 10.1016/j.chom.2015.08.003,,,
pail_uptake,phosphatidyl inositol uptake from host,pail_e <=> pail_c,,,,Transport e,1,-1000,1000,0,,,,,,,
ocdcea_t,octadecanoate transport,ocdcea_c <=> ocdcea_ap,,,,Transport ap,1,-1000,1000,0,,,,,,,
hdcea_t,hexadecanoate transport,hdcea_c <=> hdcea_ap,,,,Transport ap,1,-1000,1000,0,,,,,,,
ttdcea_t,tetradecanoate transport,ttdcea_c <=> ttdcea_ap,,,,Transport ap,1,-1000,1000,0,,,,,,,
trdrd_t,thioredoxin transport,trdrd_c => trdrd_m,,,,Transport m,0,0,1000,0,,,oxidized or reduced version?,,,,
trdrd_exp,thioredoxin expression,trdrd_c =>,,,,Expression,0,-1000,0,0,,,ADD GENES: oxidized or reduced version?,,,,
5aop_t,aminolevulinate transport,5aop_m <=> 5aop_ap,,,,Transport m ; Transport ap ; Cofactors PorphyrinMetabolism ,1,-1000,1000,0,,,,MPMP,,,
adpr_ex,adp-ribose exchange,adpr_e <=>,,,,Exchange,1,-1000,1000,0,,,,doi: 10.1023/B:BIRE.0000037755.42767.a4,,,
adpr_t,adp-ribose transport,adpr_e <=> adpr_c,,,,Transport e,1,-1000,1000,0,,,,,,,
fldox_exp,flavodoxin expression,fldox_ap =>,(PFI1140w ),PFI1140w�,,Expression,0,-1000,0,0,,,,doi: 10.1016/S1995-7645(11)60042-4,,,
PIACGT,PIACGT,pail_c + uacgam_c => acgpail_c + h_c + udp_c,,,,Lipids GPIAnchorBiosynthesis,0,0,1000,0,,,Subsystem change,,,,
g3pc_ex,g3pc_ex,g3pc_e <=>,,,,Exchange,1,-1000,1000,0,,,from host,doi: 10.1016/j.chom.2015.08.003,,,
g3pi_ex,g3pi_ex,g3pi_e <=>,,,,Exchange,1,-1000,1000,0,,,from host,doi: 10.1016/j.chom.2015.08.003,,,
g3ps_ex,g3ps_ex,g3ps_e <=>,,,,Exchange,1,-1000,1000,0,,,MAYBE NOT from host,doi: 10.1016/j.chom.2015.08.003,,,
g3pc_t,g3pc_t,g3pc_e <=> g3pc_c,,,,Transport e,1,-1000,1000,0,,,,,,,
g3pi_t,g3pi_t,g3pi_e  <=> g3pi_c,,,,Transport e,1,-1000,1000,0,,,,,,,
g3ps_t,g3ps_t,g3ps_e  <=> g3ps_c,,,,Transport e,1,-1000,1000,0,,,,,,,
dolichol_ex,dolichol exchange,dolichol_e <=>,,,,Exchange,1,-1000,1000,0,,,,PMID: 887085,,,
dolichol_t,dolicholtransport,dolichol_e <=>  dolichol_c,,,,Transport e,1,-1000,1000,0,,,,PMID: 887085,,,
seln_ex,seln_ex,seln_e <=>,,,,Exchange,1,-1000,1000,0,,,,"DOI: 10.1093/nar/gkj450, 10.1271/bbb.90306",,,
seln_t,seln_t,seln_e <=> seln_c,,,,Transport e,1,-1000,1000,0,,,,,,,
2agpe120_e_ex,2agpe120_e_ex,2agpe120_e <=>,,,,Exchange,1,-1000,1000,0,,,,,,,
2agpe140_e_ex,2agpe140_e_ex, 2agpe140_e <=>,,,,Exchange,1,-1000,1000,0,,,,,,,
2agpe141_e_ex,2agpe141_e_ex, 2agpe141_e <=>,,,,Exchange,1,-1000,1000,0,,,,,,,
2agpe160_e_ex,2agpe160_e_ex, 2agpe160_e <=>,,,,Exchange,1,-1000,1000,0,,,,,,,
2agpe161_e_ex,2agpe161_e_ex, 2agpe161_e <=>,,,,Exchange,1,-1000,1000,0,,,,,,,
2agpe180_e_ex,2agpe180_e_ex, 2agpe180_e <=>,,,,Exchange,1,-1000,1000,0,,,,,,,
2agpe181_e_ex,2agpe181_e_ex, 2agpe181_e <=>,,,,Exchange,1,-1000,1000,0,,,,,,,
2agpg120_e_ex,2agpg120_e_ex, 2agpg120_e <=>,,,,Exchange,1,-1000,1000,0,,,,,,,
2agpg140_e_ex,2agpg140_e_ex, 2agpg140_e <=>,,,,Exchange,1,-1000,1000,0,,,,,,,
2agpg141_e_ex,2agpg141_e_ex, 2agpg141_e <=>,,,,Exchange,1,-1000,1000,0,,,,,,,
2agpg160_e_ex,2agpg160_e_ex, 2agpg160_e <=>,,,,Exchange,1,-1000,1000,0,,,,,,,
2agpg161_e_ex,2agpg161_e_ex, 2agpg161_e <=>,,,,Exchange,1,-1000,1000,0,,,,,,,
2agpg180_e_ex,2agpg180_e_ex, 2agpg180_e <=>,,,,Exchange,1,-1000,1000,0,,,,,,,
2agpg181_e_ex,2agpg181_e_ex, 2agpg181_e <=>,,,,Exchange,1,-1000,1000,0,,,,,,,
2ddecg3p_e_ex,2ddecg3p_e_ex, 2ddecg3p_e <=>,,,,Exchange,1,-1000,1000,0,,,,,,,
2agpe120_e_t,2agpe120_e_t,2agpe120_e <=> 2agpe120_c,,,,Transport e,1,-1000,1000,0,,,,,,,
2agpe140_e_t,2agpe140_e_t,2agpe140_e <=> 2agpe140_c,,,,Transport e,1,-1000,1000,0,,,,,,,
2agpe141_e_t,2agpe141_e_t,2agpe141_e <=> 2agpe141_c,,,,Transport e,1,-1000,1000,0,,,,,,,
2agpe160_e_t,2agpe160_e_t,2agpe160_e <=> 2agpe160_c,,,,Transport e,1,-1000,1000,0,,,,,,,
2agpe161_e_t,2agpe161_e_t,2agpe161_e <=> 2agpe161_c,,,,Transport e,1,-1000,1000,0,,,,,,,
2agpe180_e_t,2agpe180_e_t,2agpe180_e <=> 2agpe180_c,,,,Transport e,1,-1000,1000,0,,,,,,,
2agpe181_e_t,2agpe181_e_t,2agpe181_e <=> 2agpe181_c,,,,Transport e,1,-1000,1000,0,,,,,,,
2agpg120_e_t,2agpg120_e_t,2agpg120_e <=> 2agpg120_c,,,,Transport e,1,-1000,1000,0,,,,,,,
2agpg140_e_t,2agpg140_e_t,2agpg140_e <=> 2agpg140_c,,,,Transport e,1,-1000,1000,0,,,,,,,
2agpg141_e_t,2agpg141_e_t,2agpg141_e <=> 2agpg141_c,,,,Transport e,1,-1000,1000,0,,,,,,,
2agpg160_e_t,2agpg160_e_t,2agpg160_e <=> 2agpg160_c,,,,Transport e,1,-1000,1000,0,,,,,,,
2agpg161_e_t,2agpg161_e_t,2agpg161_e <=> 2agpg161_c,,,,Transport e,1,-1000,1000,0,,,,,,,
2agpg180_e_t,2agpg180_e_t,2agpg180_e <=> 2agpg180_c,,,,Transport e,1,-1000,1000,0,,,,,,,
2agpg181_e_t,2agpg181_e_t,2agpg181_e <=> 2agpg181_c,,,,Transport e,1,-1000,1000,0,,,,,,,
2ddecg3p_e_t,2ddecg3p_e_t,2ddecg3p_e <=> 2ddecg3p_c,,,,Transport e,1,-1000,1000,0,,,,,,,
gdp_t,gdp transport,gdp_c <=> gdp_ap,,,,Transport ap,1,-1000,1000,0,,,,,,,
gtp_t,gtp transport,gtp_c <=> gtp_ap,,,,Transport ap,1,-1000,1000,0,,,,,,,
2dr_p,phosphate transfer on 2-deoxy-d-ribose,2dr5p_c <=> 2dr1p_c,,,,Nucleotides PyrimidineMetabolism ,1,-1000,1000,0,,,No genetic evidence; gap filled to removed blocked reaction,,,,
mi13456p_ex,mi13456p exchange,mi13456p_e <=>,,,,Exchange,1,-1000,1000,0,,,From host cell,doi: 10.1016/j.chom.2015.08.003,,,
mi1345p_ex,mi1345p exchange,mi1345p_e <=>,,,,Exchange,1,-1000,1000,0,,,From host cell,doi: 10.1016/j.chom.2015.08.003,,,
mi134p_ex,mi134p exchange,mi134p_e <=>,,,,Exchange,1,-1000,1000,0,,,From host cell,doi: 10.1016/j.chom.2015.08.003,,,
mi1456p_ex,mi1456p exchange,mi1456p_e <=>,,,,Exchange,1,-1000,1000,0,,,From host cell,doi: 10.1016/j.chom.2015.08.003,,,
mi145p_ex,mi145p exchange,mi145p_e <=>,,,,Exchange,1,-1000,1000,0,,,From host cell,doi: 10.1016/j.chom.2015.08.003,,,
mi14p_ex,mi14p exchange,mi14p_e <=>,,,,Exchange,1,-1000,1000,0,,,From host cell,doi: 10.1016/j.chom.2015.08.003,,,
mi1p_D_ex,mi1p_D exchange,mi1p_D_e <=>,,,,Exchange,1,-1000,1000,0,,,From host cell,doi: 10.1016/j.chom.2015.08.003,,,
mi34p_ex,mi34p exchange,mi34p_e <=>,,,,Exchange,1,-1000,1000,0,,,From host cell,doi: 10.1016/j.chom.2015.08.003,,,
mi4p_D_ex,mi4p_D exchange,mi4p_D_e <=>,,,,Exchange,1,-1000,1000,0,,,From host cell,doi: 10.1016/j.chom.2015.08.003,,,
dIMP_ex,dIMP exchange,dimp_e <=>,,,,Exchange,1,-1000,1000,0,,,,PMID: 855717,,,
dIMP_t,dIMP transport,dimp_e <=> dimp_c,,,,Transport e,1,-1000,1000,0,,,,PMID: 855717,,,
mi13456p_t,mi13456p transport,mi13456p_e <=> mi13456p_c,,,,Transport e,1,-1000,1000,0,,,,,,,
mi1345p_t,mi1345p transport,mi1345p_e <=> mi1345p_c,,,,Transport e,1,-1000,1000,0,,,,,,,
mi134p_t,mi134p transport,mi134p_e <=> mi134p_c,,,,Transport e,1,-1000,1000,0,,,,,,,
mi1456p_t,mi1456p transport,mi1456p_e <=> mi1456p_c,,,,Transport e,1,-1000,1000,0,,,,,,,
mi145p_t,mi145p transport,mi145p_e <=> mi145p_c,,,,Transport e,1,-1000,1000,0,,,,,,,
mi14p_t,mi14p transport,mi14p_e <=> mi14p_c,,,,Transport e,1,-1000,1000,0,,,,,,,
mi1p_D_t,mi1p_D transport,mi1p_D_e <=> mi1p_D_c,,,,Transport e,1,-1000,1000,0,,,,,,,
mi34p_t,mi34p transport,mi34p_e <=> mi34p_c,,,,Transport e,1,-1000,1000,0,,,,,,,
mi4p_D_t,mi4p_D transport,mi4p_D_e <=> mi4p_D_c,,,,Transport e,1,-1000,1000,0,,,,,,,
acp_exp,acp expression,apoACP_c =>,(PFB0385w),PFB0385w,,Expression,0,-1000,0,0,,,Added ACP gene,PlasmoDB,,,
acp_t,acp transport,apoACP_c <=> apoACP_ap,,,,Transport ap,1,-1000,1000,0,,,,,,,
ACPS1,holo-[acyl-carrier-protein] synthase,apoACP_ap + coa_ap => ACP_ap + h_ap + pap_ap,(PFD0980w),PFD0980w,,Cofactors CoABiosynthesis,0,0,1000,0,,2.7.8.7,added ACP gene; moved to apicoplast,PlasmoDB; MPMP,,,
ACCOAC_ap,Acetyl-CoA carboxylase,accoa_ap + atp_ap + hco3_ap => adp_ap + h_ap + malcoa_ap + pi_ap,(PF14_0664) and (PF14_0573) and (PF10_0409),PF14_0664 PF14_0573 PF10_0409,,Lipids FattyAcidSynthesis,0,0,1000,0,,6.4.1.2,Add genes,PlasmoDB; MPMP,,,REPLACE EXISTING
KAS14_ap,beta-ketoacyl-acyl-carrier-protein synthase I,acACP_ap + h_ap + malACP_ap => ACP_ap + actACP_ap + co2_ap,(PFF1275c),PFF1275c,,Lipids FattyAcidSynthesis,0,0,1000,0,,2.3.1.41,REMOVE gene,PlasmoDB; MPMP,,,
3OAR40_ap,3-oxoacyl-[acyl-carrier-protein] reductase,actACP_ap + h_ap + nadph_ap => 3haACP_ap + nadp_ap,(PFI1125c),PFI1125c,,Lipids FattyAcidSynthesis,0,0,1000,0,,1.1.1.100,MAKE UNIDIRECTIONAL,,,,
3OAS60_ap,beta-ketoacyl-acyl-carrier-protein synthase I,butACP_ap + h_ap + malACP_ap => actACP_ap + ACP_ap + co2_ap,(PFF1275c),PFF1275c,,Lipids FattyAcidSynthesis,0,0,1000,0,,2.3.1.41,REMOVE GENE; change met,PlasmoDB; MPMP,,,
